Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak,faktor
Øvre Sveberglia 36,46/544/0/0,6500000,70,320000,4230000,1.8,7614,Ingen,1.0
Øvre Sveberglia 34,46/545/0/0,10160000,70,320000,6792000,1.8,12225,Ingen,1.0
ØVRE SVEBERGLIA 32,46/546/0/0,7977000,70,320000,5263900,1.8,9475,Ingen,1.0
Vidhaugen 11,46/547/0/0,7615000,70,320000,5010500,1.8,9018,Ingen,1.0
Vidhaugen 9,46/548/0/0,6534000,70,320000,4253800,1.8,7656,Ingen,1.0
Vidhaugen 7,46/549/0/0,8836000,70,320000,5865200,1.8,10557,Ingen,1.0
Vidhaugen 5,46/550/0/0,5981000,70,320000,3866700,1.8,6960,Ingen,1.0
Vidhaugen 3,46/551/0/0,6731000,70,320000,4391700,1.8,7905,Ingen,1.0
Vidhaugen 1,46/552/0/0,7615000,70,320000,5010500,1.8,9018,Ingen,1.0
Vidhaugen 13,46/553/0/0,7682000,70,320000,5057400,1.8,9103,Ingen,1.0
Vidhaugen 15,46/554/0/0,8406000,70,320000,5564200,1.8,10015,Ingen,1.0
Vidhaugen 17,46/555/0/0,6504000,70,320000,4232800,1.8,7619,Ingen,1.0
Vidhaugen 19,46/556/0/0,6660000,70,320000,4342000,1.8,7815,Ingen,1.0
Vidhaugen 21,46/557/0/0,6851000,70,320000,4475700,1.8,8056,Ingen,1.0
Vidhaugen 23,46/558/0/0,8679000,70,320000,5755300,1.8,10359,Ingen,1.0
Vidhaugen 35,46/559/0/0,8841000,70,320000,5868700,1.8,10563,Ingen,1.0
Vidhaugen 33,46/560/0/0,7998000,70,320000,5278600,1.8,9501,Ingen,1.0
Vidhaugen 31,46/561/0/0,10462000,70,320000,7003400,1.8,12606,Ingen,1.0
Vidhaugen 29,46/562/0/0,10362000,70,320000,6933400,1.8,12480,Ingen,1.0
Vidhaugen 27,46/563/0/0,8589000,70,320000,5692300,1.8,10246,Ingen,1.0
Sveabakken 2,46/564/0/0,8959000,70,640000,5631300,1.8,10136,Ingen,2.0
Sveabakken 4,46/565/0/0,8332000,70,640000,5192400,1.8,9346,Ingen,2.0
Sveabakken 6,46/566/0/0,12787000,70,640000,8310900,1.8,14959,Ingen,2.0
Vidhaugen 25A,46/567/0/1,4086000,70,320000,2540200,1.8,4572,Ingen,1.0
Vidhaugen 25C,46/567/0/2,3692000,70,320000,2264400,1.8,4075,Ingen,1.0
Vidhaugen 25B,46/567/0/3,3939000,70,320000,2437300,1.8,4387,Ingen,1.0
Vidhaugen 25B,46/567/0/4,3692000,70,320000,2264400,1.8,4075,Ingen,1.0
Vidhaugen 25D,46/567/0/5,3692000,70,320000,2264400,1.8,4075,Ingen,1.0
Vidhaugen 25F,46/567/0/6,3366000,70,320000,2036200,1.8,3665,Ingen,1.0
Vidhaugen 25E,46/567/0/7,3692000,70,320000,2264400,1.8,4075,Ingen,1.0
Vidhaugen 25E,46/567/0/8,3692000,70,320000,2264400,1.8,4075,Ingen,1.0
Vidhaugen 25G,46/567/0/9,3692000,70,320000,2264400,1.8,4075,Ingen,1.0
Vidhaugen 25I,46/567/0/10,3491000,70,320000,2123700,1.8,3822,Ingen,1.0
Vidhaugen 25H,46/567/0/11,3939000,70,320000,2437300,1.8,4387,Ingen,1.0
Vidhaugen 25H,46/567/0/12,3692000,70,320000,2264400,1.8,4075,Ingen,1.0
Vidhaugen 25J,46/567/0/13,3692000,70,320000,2264400,1.8,4075,Ingen,1.0
